entry,DeltaE_hydroxo,DeltaE_oxyl
1,-9.58447795,-5.92892913
2,-19.53156683,-9.83232537
3,-17.34703495,-21.62204081
4,-27.63423813,-16.91376537
5,1.86843388,5.07913048
6,-1.48237718,-1.85244086
7,7.43497616,11.05721676
8,4.14897798,9.19214294
9,-11.38069785,-10.84176539
10,-19.36271175,-9.01733875
11,-3.39420811,1.1979423
12,18.26296822,13.39555781
13,20.96767453,5.26262028
14,-36.18611914,-20.45392962
15,20.68247479,1.62872551
16,-35.21059287,-19.70845524
17,9.4971669,9.38264711
18,-41.25641366,-22.31668755
19,16.57754497,11.65277749
20,-36.79404834,-20.05825482
21,16.25699291,1.8940539
22,-32.54729892,-17.37300431
23,17.20064546,7.18515653
24,-35.89621766,-21.11860469
25,11.86228014,2.85810221
26,-40.31520683,-25.27484383
27,11.8636483,7.07658283
28,-38.14384323,-18.96926072
29,22.27614002,9.11016993
30,-36.07030536,-20.93057981
31,18.05791486,12.42032151
32,-32.39482114,-18.92521677
33,-1.1453112,1.77741865
34,-12.66021526,-3.80051336
35,-0.43178627,4.9595325
36,-4.61102195,12.10211439
37,2.21349684,5.61223576
38,-22.28387521,-17.19346719
39,4.96991666,5.18738886
40,-23.52736912,-16.7286618
41,-5.95682256,-2.27022859
42,-29.26561863,-19.15962727
43,2.66339586,-2.48997966
44,-22.40386161,-12.68935849
45,-0.45370625,-5.56039613
46,-26.06401088,-21.84833323
47,2.07398774,-1.7817265
48,-21.32167856,-12.97663906
49,-2.58850405,-1.3683789
50,-24.71175828,-14.14253947
51,1.748673,-2.65886324
52,-25.49483762,-15.59091849
53,4.50440645,6.83244555
54,-23.31770376,-13.50445851
55,9.71967687,-0.59444383
56,-18.44570488,-15.63364003
57,6.27462161,2.50264406
58,-22.42247562,-11.91918138
59,11.62480846,10.8740965
60,-16.97686007,-7.74941269
61,0.98250443,2.79984341
62,-13.47878088,-16.73411844
63,10.8306099,3.21900589
64,-3.22095964,3.17865483
65,-10.30697914,-12.96102813
66,1.54392061,1.53604995
67,5.69140882,-0.85699004
68,7.69642259,8.20001647
69,-7.31961468,-7.02335402
70,12.58006064,1.73001978
71,15.4283872,10.19367352
72,-1.19359404,-1.86327343
73,13.44946056,4.22633547
74,16.04042708,4.85697768
75,16.72794174,4.54399546
76,-37.18005403,-20.4877788
77,19.90072195,9.18543398
78,-34.61779607,-14.78126909
79,9.66033594,4.65960449
80,-39.28331928,-22.55647531
81,11.883827,2.13637316
82,-39.07774479,-21.06988435
83,19.54993165,7.28503659
84,-35.97758355,-15.9614611
85,15.61672802,10.44803048
86,-32.66391214,-17.5325476
87,25.68362674,11.19057947
88,-28.89649935,-14.02330576
89,21.93268619,8.31047164
90,-23.50579434,-10.34883177
91,13.84107267,5.4861706
92,-40.08566059,-20.45112628
93,12.6737684,7.78624279
94,-37.40757856,-19.26011438
95,15.06523038,4.21439503
96,-36.70102055,-17.14940548
97,11.89803519,6.82343533
98,-33.87187032,-18.40506592
99,-10.92692916,-2.26488033
100,-34.5713876,-21.97790151
101,-10.49504418,-1.81597591
102,-33.32853362,-17.75830211
103,2.20933865,-1.85895648
104,-21.7383608,-20.91498608
105,3.43314087,3.2846917
106,-21.90804232,-11.07344893
107,-4.39165278,-7.76505732
108,-23.70427327,-23.95527958
109,-2.4916039,-0.3146386
110,-26.24674617,-17.84862884
111,0.62104816,6.03686704
112,-19.44581201,-12.38466724
113,3.42889345,4.78493633
114,-20.65959071,-14.0679082
115,15.966376,15.05362748
116,-16.62975959,-11.80780685
117,15.18565121,4.57722127
118,-11.51233591,-8.37702385
119,-1.97635673,-10.06793505
120,-20.70338196,-19.51797761
121,-2.778471,-1.52965531
122,-22.7280489,-20.47213411
123,0.12129846,-1.03058489
124,-23.34231682,-21.04722096
125,4.69237843,-2.2481203
126,-19.50604596,-14.84939748
127,-10.41735191,1.17945707
128,-31.74134912,-11.33174721
129,-10.5999135,0.89885822
130,-31.89951176,-10.38534573
